ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	523	77	77	1544,1549,1613,1620,1621,1622,1627,1630,1632,1636,1640,1650,1660,1662,1665,1762,1773,1775,1793,1819,1827,1832,1834,1861,1871,1875,1883,1901,1969,1973,1987,2060,2068,2090,2108,2110,2113,2120,2153,2155,2165,2187,2189,2217,2219,2238,2253,2309,2321,2366,2370,2373,2415,2454,2469,2472,2502,2504,2530,2533,2585,2591,2617,2619,2622,2695,2697,2736,2758,2820,2829,2831,2847,2864,2897,2910,2950
12	true	28	139	10	10	1543,1548,1623,1624,1625,1719,1771,1869,1934,2119
23	true	33	0	0	0	
11	true	34	0	0	0	
13	true	34	710	26	26	1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1545,1546,1547
47	true	3	224	8	8	1298,1300,1302,1304,1306,1308,1310,1312
4	true	1	28	1	1	123
38	false	0	4761	184	0	1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1378,1379,1381,1382,1383,1384,1385,1386,1387,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1490,1493,1502,1504,1506,1508,1510,1512,1514,1516,1518,1614,1615,1616,1617,1618,1619,1663,2030,2058,2377,2380,2465,2466,2473,2865,2951,2987
6	false	0	1389	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	957	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
