film	famille	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ecart_par_periode_s	publie_demi_fenetre_s	demi_fenetre_depasse_oracle
16ea3668	CTF	2533274858283686		9	32.1	30.9	1.2	0.13	41.1	true
16ea3668	CTF	2533275034585819		3	6.0	5.5	0.5	0.17	9.0	true
16ea3668	CTF	2535417044536883		2	1.1	0.9	0.2	0.10	3.1	true
16ea3668	CTF	2535447614023932		8	17.5	16.3	1.2	0.15	25.5	true
16ea3668	CTF	2535466949313010		4	31.8	31.2	0.6	0.15	35.8	true
16ea3668	CTF	2598952284978039		3	46.5	46.2	0.3	0.10	49.5	true
58864b3c	CTF	2533274822170595		1	37.6	37.4	0.2	0.20	38.6	true
58864b3c	CTF	2533274823110022	JGtm	2	13.8	13.5	0.3	0.15	15.8	true
58864b3c	CTF	2533274829350000		5	13.7	13.2	0.5	0.10	18.7	true
58864b3c	CTF	2533274858283686		5	9.9	9.3	0.6	0.12	14.9	true
58864b3c	CTF	2535452521259564		4	27.2	26.8	0.4	0.10	31.2	true
58864b3c	CTF	2535469190789936		3	10.3	9.9	0.4	0.13	13.3	true
7fce3219	CTF	2533274823110022	JGtm	2	8.2	8.0	0.2	0.10	10.2	true
7fce3219	CTF	2533274858283686		9	13.8	12.9	0.9	0.10	22.8	true
7fce3219	CTF	2533274943116584		1	0.6	0.4	0.2	0.20	1.6	true
7fce3219	CTF	2533274955626571		27	43.3	40.2	3.1	0.11	70.3	true
7fce3219	CTF	2535415254450151		13	64.8	63.3	1.5	0.12	77.8	true
7fce3219	CTF	2535458465148583		1	2.8	2.7	0.1	0.10	3.8	true
7fce3219	CTF	2535469190789936		17	23.6	21.6	2.0	0.12	40.6	true
7fce3219	CTF	2654577101798078		15	26.3	24.8	1.5	0.10	41.3	true
8bc6074f	CTF	2533274823110022		5	33.1	32.4	0.7	0.14	38.1	true
8bc6074f	CTF	2533274829350000		12	42.6	41.6	1.0	0.08	54.6	true
8bc6074f	CTF	2533274833178266	XxDaemonGamerxX	3	11.9	12.8	-0.9	-0.30	14.9	true
8bc6074f	CTF	2533274858283686		5	9.9	9.1	0.8	0.16	14.9	true
8bc6074f	CTF	2535449383340628		11	43.6	42.4	1.2	0.11	54.6	true
8bc6074f	CTF	2535450759128461		2	27.1	26.8	0.3	0.15	29.1	true
8bc6074f	CTF	2535452521259564		3	12.7	12.5	0.2	0.07	15.7	true
8bc6074f	CTF	2535469190789936		10	32.6	31.7	0.9	0.09	42.6	true
a0c36016	CTF	2533274823110022	JGtm	1	1.4	1.4	0.0	0.00	2.4	true
