film	famille	mode	manches_couverture	manches_score_indice	obj_available	obj_attached	obj_noSlot	pct_actions_non_nommees	flag_openings	flag_carries	flag_noBridge	spans_portes_sans_xuid	images_portees_sans_xuid	bridge_livesNamed	bridge_livesTotal	actions_objectif_oracle_total	actions_objectif_publiees
4f77afc1	CTF	BTB:CTF	1	1	190	0	0	0.0	0	0	0	0	0	192	375	40	0
879a4dba	CTF	BTB:CTF	1	1	105	0	0	0.0	0	0	0	0	0	122	219	72	0
5676a9ba	TotalControl	BTB:Total Control	1	1	178	0	0	0.0	0	0	0	0	0	204	307	60	0
16ea3668	CTF	CTF:Arena	1	1	161	161	0	0.0	29	29	0	0	0	74	79	56	56
58864b3c	CTF	CTF:Arena	1	1	77	77	0	0.0	20	20	0	0	0	27	41	42	42
7fce3219	CTF	CTF:Arena	2	2	363	363	0	0.0	85	85	0	0	0	168	191	124	124
8bc6074f	CTF	CTF:Arena	1	1	218	218	0	0.0	54	53	0	0	0	81	98	99	99
a0c36016	CTF	CTF:Arena	1	1	293	293	0	0.0	49	49	0	0	0	136	151	95	95
b8a44fe8	CTF	CTF:Arena	1	1	297	297	0	0.0	63	63	0	0	0	124	140	129	129
bc60b4d9	CTF	CTF:Arena	1	1	189	189	0	0.0	31	31	0	0	0	79	90	73	73
bf5ced1b	CTF	CTF:Arena	1	1	59	59	0	0.0	12	12	0	0	0	26	29	23	22
cde26226	CTF	CTF:Arena	2	2	389	389	0	0.0	88	88	0	0	0	163	181	158	158
f8efc5ca	CTF	CTF:Arena	1	1	197	197	0	0.0	35	35	0	0	0	83	95	79	79
fb1a1a72	CTF	CTF:Arena	1	1	259	259	0	0.0	35	35	0	0	0	140	147	72	72
4ecdf3e7	CTF	CTF:Arena Neutral Flag	1	1	96	96	0	0.0	26	25	0	0	0	29	52	53	50
43716616	Oddball	Oddball:Arena	2	2	0	0	0		0	0	0	0	0	62	80	2	0
51ebbc0f	Oddball	Oddball:Arena	2	2	0	0	0		0	0	0	0	0	71	87	4	0
c88ec007	Oddball	Oddball:Arena	3	3	0	0	0		0	0	0	0	0	125	154	3	0
d9781168	Oddball	Oddball:Arena	3	3	0	0	0		0	0	0	0	0	140	176	10	0
32d9a94f	Strongholds	Strongholds:Arena	1	1	148	148	0	0.0	0	0	0	0	0	71	86	55	55
396cfc92	Strongholds	Strongholds:Arena	1	1	152	152	0	0.0	0	0	0	0	0	62	81	58	58
572e236b	Strongholds	Strongholds:Arena	1	1	143	143	0	0.0	0	0	0	0	0	65	78	45	45
81c02726	Strongholds	Strongholds:Arena	1	1	92	92	0	0.0	0	0	0	0	0	39	53	35	35
e60aaf06	Strongholds	Strongholds:Arena	1	1	154	154	0	0.0	0	0	0	0	0	67	77	49	49
